新闻频道,#genre#  
中天新闻,http://192.168.0.114:9000/live.m3u8?c=1
中天新闻2台,http://192.168.0.114:9000/live.m3u8?c=2
中天亚洲台,http://192.168.0.114:9000/live.m3u8?c=3
TVBS 选新闻,http://192.168.0.114:9000/live.m3u8?c=4
TVBS NEWS,http://192.168.0.114:9000/live.m3u8?c=5
TVBS新聞台,http://192.168.0.114:9000/live.m3u8?c=6
东森财经新闻,http://192.168.0.114:9000/live.m3u8?c=7
東森新聞,http://192.168.0.114:9000/live.m3u8?c=8
東森新聞 CH51,http://192.168.0.114:9000/live.m3u8?c=9
東森新聞 CH52,http://192.168.0.114:9000/live.m3u8?c=10
凤凰卫视资讯台,http://192.168.0.114:9000/live.m3u8?c=11
三立新闻台,http://192.168.0.114:9000/live.m3u8?c=12
三立iNEWS,http://192.168.0.114:9000/live.m3u8?c=13
三立海外,http://192.168.0.114:9000/live.m3u8?c=14
华视新闻台,http://192.168.0.114:9000/live.m3u8?c=15
新唐人亚太台,http://192.168.0.114:9000/live.m3u8?c=16
民视新闻台,http://192.168.0.114:9000/live.m3u8?c=17
公视新闻台,http://192.168.0.114:9000/live.m3u8?c=18
中视新闻,http://192.168.0.114:9000/live.m3u8?c=19
台视新闻,http://192.168.0.114:9000/live.m3u8?c=20
寰宇新闻台,http://192.168.0.114:9000/live.m3u8?c=21
寰宇新闻台湾台,http://192.168.0.114:9000/live.m3u8?c=22
镜新闻,http://192.168.0.114:9000/live.m3u8?c=23
8视界,http://192.168.0.114:9000/live.m3u8?c=24
台湾启示录,http://192.168.0.114:9000/live.m3u8?c=25
国会频道1,http://192.168.0.114:9000/live.m3u8?c=26
国会频道2,http://192.168.0.114:9000/live.m3u8?c=27
大爱一台,http://192.168.0.114:9000/live.m3u8?c=28
大爱二台,http://192.168.0.114:9000/live.m3u8?c=29

国外频道,#genre#  
ABC美国广播公司新闻（偏自由派）,http://192.168.0.114:9000/live.m3u8?c=30
NBC国家广播公司新闻（偏自由派）,http://192.168.0.114:9000/live.m3u8?c=31
CNA亚洲新闻台（新加坡）,http://192.168.0.114:9000/live.m3u8?c=32
日本广播协会NHK,http://192.168.0.114:9000/live.m3u8?c=33
半岛电视台（阿拉伯）,http://192.168.0.114:9000/live.m3u8?c=35
北海道电视台,http://192.168.0.114:9000/live.m3u8?c=36
名古屋电视台,http://192.168.0.114:9000/live.m3u8?c=37
广岛电视台,http://192.168.0.114:9000/live.m3u8?c=38
鹿児島电视台,http://192.168.0.114:9000/live.m3u8?c=39
ANN NEWS（日本）,http://192.168.0.114:9000/live.m3u8?c=40
KBS On-Air,http://192.168.0.114:9000/live.m3u8?c=41
韩国SBS 1,http://192.168.0.114:9000/live.m3u8?c=42
韩国SBS 2,http://192.168.0.114:9000/live.m3u8?c=43
韩国SBS 3,http://192.168.0.114:9000/live.m3u8?c=44
韩国SBS 4,http://192.168.0.114:9000/live.m3u8?c=45
韩国SBS 5,http://192.168.0.114:9000/live.m3u8?c=46
韩国SBS 6,http://192.168.0.114:9000/live.m3u8?c=47
Talk TV,http://192.168.0.114:9000/live.m3u8?c=48
CNBC,http://192.168.0.114:9000/live.m3u8?c=49
CNN MAX,http://192.168.0.114:9000/live.m3u8?c=50
CGTN Europe,http://192.168.0.114:9000/live.m3u8?c=51
FRANCE 24 English(法国）,http://192.168.0.114:9000/live.m3u8?c=52

少儿频道,#genre#  
小猪佩奇,http://192.168.0.114:9000/live.m3u8?c=54
momo亲子台 1,http://192.168.0.114:9000/live.m3u8?c=55
momo亲子台 2,http://192.168.0.114:9000/live.m3u8?c=56
momo亲子台3,http://192.168.0.114:9000/live.m3u8?c=57
YOYO TV,http://192.168.0.114:9000/live.m3u8?c=58
朱妮托尼1,http://192.168.0.114:9000/live.m3u8?c=59
朱妮托尼2,http://192.168.0.114:9000/live.m3u8?c=60
朱妮托尼3,http://192.168.0.114:9000/live.m3u8?c=61
朱妮托尼4,http://192.168.0.114:9000/live.m3u8?c=62

综艺频道,#genre#  
综艺大热门,http://192.168.0.114:9000/live.m3u8?c=63
饥饿游戏,http://192.168.0.114:9000/live.m3u8?c=64
华视综艺频道,http://192.168.0.114:9000/live.m3u8?c=65
中視經典綜藝,http://192.168.0.114:9000/live.m3u8?c=66
大陆寻奇,http://192.168.0.114:9000/live.m3u8?c=67
MIT台湾志,http://192.168.0.114:9000/live.m3u8?c=68
我愛冰冰Show,http://192.168.0.114:9000/live.m3u8?c=69
猪哥会社,http://192.168.0.114:9000/live.m3u8?c=70
Running Man(奔跑吧兄弟),http://192.168.0.114:9000/live.m3u8?c=71
ALL THE K-POP,http://192.168.0.114:9000/live.m3u8?c=72
THE K-POP,http://192.168.0.114:9000/live.m3u8?c=73
天才冲冲冲,http://192.168.0.114:9000/live.m3u8?c=74
UFO频道,http://192.168.0.114:9000/live.m3u8?c=75
2024 NBA playoffs Live Scorecard,http://192.168.0.114:9000/live.m3u8?c=76
重金属乐队LIVE,http://192.168.0.114:9000/live.m3u8?c=77
momo购物一台,http://192.168.0.114:9000/live.m3u8?c=78
momo购物二台,http://192.168.0.114:9000/live.m3u8?c=79

影剧频道,#genre#  
武林外传,http://192.168.0.114:9000/live.m3u8?c=80
雍正王朝,http://192.168.0.114:9000/live.m3u8?c=81
台視時光機,http://192.168.0.114:9000/live.m3u8?c=82
终极三国,http://192.168.0.114:9000/live.m3u8?c=83
BIF相信未来,http://192.168.0.114:9000/live.m3u8?c=84
三立华剧,http://192.168.0.114:9000/live.m3u8?c=85
八大劇樂部,http://192.168.0.114:9000/live.m3u8?c=86
乐视视频,http://192.168.0.114:9000/live.m3u8?c=87
JTBC Drama1,http://192.168.0.114:9000/live.m3u8?c=88
JTBC Drama2,http://192.168.0.114:9000/live.m3u8?c=89

风景直播,#genre#  
新宿 歌舞伎町,http://192.168.0.114:9000/live.m3u8?c=90
国际空间站,http://192.168.0.114:9000/live.m3u8?c=91
国家地理频道野外1,http://192.168.0.114:9000/live.m3u8?c=92
国家地理频道野外2,http://192.168.0.114:9000/live.m3u8?c=93
伦敦巴士直播,http://192.168.0.114:9000/live.m3u8?c=94
悉尼直播,http://192.168.0.114:9000/live.m3u8?c=95
SPACE X星舰,http://192.168.0.114:9000/live.m3u8?c=96
韩国汉江直播,http://192.168.0.114:9000/live.m3u8?c=97
台湾桃园机场直播,http://192.168.0.114:9000/live.m3u8?c=98
动物直播1,http://192.168.0.114:9000/live.m3u8?c=99
动物直播2,http://192.168.0.114:9000/live.m3u8?c=100
动物直播3,http://192.168.0.114:9000/live.m3u8?c=101
动物直播4,http://192.168.0.114:9000/live.m3u8?c=102
